player,role,role_mantra,team,Prezzo_Consigliato_Cr,NN_FV_Atteso,NN_MV_Atteso,NN_Rischio_Std,Prob_Bonus_Ge_8_%,Prob_Picco_Ge_10_%,Clean_Sheet_%,FVM_1000,n_stagioni,mv_media_3y,mfv_media_3y,mv_storica,mfv_storica,mv_std,mv_trend,availability,gol_per_pg,ass_per_pg,amm_per_pg,rig_per_pg,n_seasons_us,xg_media_3y,xa_media_3y,xg_per90,xa_per90,npxg_per90,shots_per90,offensive_index,gf_avg_3y,giorni_infortunio_3y,n_infortuni_3y,infortunio_grave,malus_infortuni,starts_2627,sub_apps_2627,minutes_2627,is_starter_2627,starter_pct_2627,score_composito,score_composito_base,vorp_points,target_price_500,target_price_1000,clearing_price_1000,clearing_price_500,target_flags,prezzo_fair_1000,prezzo_fair_500,surplus_value_cr,predicted_contrib_p10,predicted_contrib_p50,predicted_contrib_p90,contrib_volatility_spread
Malen,A,Pc,ROM,38,45.0,6.0,0.5,0.0,0.0,0.0,450,1.0,6.72,8.97,6.72,8.97,0.0,,0.474,0.778,0.111,0.056,0.167,1.0,15.205,1.548,0.913,0.093,0.73,4.203,1.0268,2.203,44,6,0,0.171,2,0,135,True,1.0,0.678,0.6958,46.0,38,450,378,189,thin_prior_sample_no_fade;clearing_observed(historical),450,38,72,124.2,183.4,210.4,86.2
Paz N.,C,T;A,COM,29,24.5,6.0,0.5,0.0,0.0,0.0,245,2.0,6.373,7.183,6.375,7.125,0.005,,0.895,0.265,0.176,0.162,0.0,2.0,9.256,6.256,0.303,0.201,0.266,3.707,1.0068,1.982,23,3,0,0.089,2,0,170,True,1.0,0.6248,0.6333,42.9,22,182,200,100,fade(0.74);clearing_observed(asta_xlsx),182,22,-18,127.7,207.1,230.0,102.3
Krstovic,A,Pc,ATA,18,9.8,6.0,0.5,0.0,0.0,0.0,98,3.0,6.082,6.952,6.04,6.803,0.102,0.125,0.895,0.275,0.108,0.137,0.029,3.0,14.002,3.166,0.5,0.117,0.444,4.056,1.0354,2.298,3,2,0,0.012,0,2,52,False,0.0,0.6186,0.6197,35.6,15,80,148,74,fade(0.82);clearing_observed(asta_xlsx),80,15,-68,81.6,173.0,219.6,138.0
Douvikas,A,Pc,COM,22,18.5,6.0,0.5,0.0,0.0,0.0,185,2.0,6.19,7.17,6.195,7.065,0.015,,0.632,0.333,0.042,0.021,0.021,2.0,11.16,1.816,0.575,0.114,0.551,2.481,1.0068,1.982,10,4,0,0.039,2,0,180,True,1.0,0.5974,0.6009,52.9,17,146,61,30,fade(0.79);clearing_observed(asta_xlsx),146,17,85,86.8,190.3,221.7,134.9
Laurientè,A,A,SAS,15,8.3,6.0,0.5,0.0,0.0,0.0,83,1.0,6.23,6.99,6.23,6.99,0.0,,0.974,0.189,0.243,0.108,0.0,3.0,4.913,6.295,0.168,0.217,0.159,2.419,0.9714,1.594,0,0,0,0.0,2,0,180,True,1.0,0.5733,0.5733,66.6,13,71,25,12,fade(0.85);clearing_observed(asta_xlsx),71,13,46,126.8,204.0,228.6,101.8
Da Cunha,C,C;T,COM,18,8.7,6.0,0.5,0.0,0.0,0.0,87,2.0,6.26,6.727,6.22,6.635,0.12,,0.921,0.129,0.086,0.114,0.057,2.0,5.145,5.31,0.142,0.177,0.091,1.316,1.0068,1.982,0,0,0,0.0,1,1,111,True,0.5,0.5675,0.5675,43.2,15,72,20,10,fade(0.83);clearing_observed(asta_xlsx),72,15,52,121.8,207.4,229.9,108.1
Dimarco,D,E;W,INT,31,24.0,6.0,0.5,0.0,0.0,0.0,240,10.0,6.483,7.303,5.594,5.946,1.875,0.3897,0.637,0.139,0.199,0.085,0.0,4.0,5.566,10.07,0.178,0.394,0.178,2.141,1.1,3.009,56,7,0,0.218,2,0,180,True,1.0,0.5626,0.5816,38.5,16,126,82,41,fade(0.53);clearing_observed(asta_xlsx),126,16,44,123.2,201.2,218.8,95.6
Martinez L.,A,Pc,INT,33,36.1,6.0,0.5,0.0,0.0,0.0,361,8.0,6.382,8.06,6.35,7.825,0.172,0.0352,0.852,0.51,0.112,0.135,0.042,1.0,1.261,0.421,0.353,0.118,0.353,3.913,1.1,3.009,140,12,0,0.544,2,0,144,True,1.0,0.5608,0.6106,40.2,22,243,329,164,fade(0.67);clearing_observed(asta_xlsx),243,22,-86,106.8,177.6,224.0,117.2
Thuram,A,Pc,INT,28,24.9,6.0,0.5,0.0,0.0,0.0,249,3.0,6.415,7.86,6.433,7.837,0.086,-0.055,0.842,0.417,0.177,0.062,0.0,2.0,3.886,3.668,0.142,0.137,0.142,1.608,1.1,3.009,106,12,0,0.412,0,2,25,False,0.0,0.5601,0.597,33.4,20,177,306,153,fade(0.71);clearing_observed(asta_xlsx),177,20,-129,102.7,170.8,214.3,111.6
Pulisic,C,T;A,MIL,24,15.0,6.0,0.5,0.0,0.0,0.0,150,3.0,6.257,7.282,6.287,7.353,0.099,-0.09,0.851,0.32,0.196,0.031,0.031,3.0,10.017,5.834,0.389,0.232,0.338,2.334,1.0464,2.419,127,12,0,0.494,0,2,0,False,0.0,0.5598,0.6046,17.0,17,107,155,78,fade(0.79);team_discount(MIL);clearing_observed(asta_xlsx),107,17,-48,80.7,181.2,222.1,141.4
Pinamonti,A,Pc,LAZ,12,5.3,6.0,0.5,0.0,0.0,0.0,53,9.0,5.913,6.653,5.926,6.541,0.181,-0.0023,0.687,0.252,0.043,0.087,0.035,4.0,10.095,1.865,0.302,0.062,0.264,2.514,0.9953,1.856,14,3,0,0.054,0,1,10,False,0.0,0.5551,0.5596,12.6,11,48,82,41,fade(0.91);clearing_observed(asta_xlsx),48,11,-34,60.1,150.0,212.9,152.8
Orsolini,C,W;A,BOL,25,17.7,6.0,0.5,0.0,0.0,0.0,177,9.0,6.233,7.287,6.106,6.921,0.179,0.0375,0.772,0.284,0.095,0.072,0.064,4.0,10.299,3.826,0.45,0.173,0.321,3.475,1.004,1.952,145,8,0,0.564,1,1,80,True,0.5,0.5537,0.6049,6.9,22,153,190,95,fade(0.86);clearing_observed(asta_xlsx),153,22,-37,69.2,171.1,222.4,153.2
Yildiz,A,A,JUV,22,10.0,6.0,0.5,0.0,0.0,0.0,100,3.0,6.317,7.035,6.26,6.867,0.15,0.17,0.789,0.211,0.111,0.078,0.011,3.0,6.269,6.035,0.224,0.262,0.202,2.564,1.0076,1.992,37,8,0,0.144,1,0,69,True,0.5,0.5497,0.5618,46.5,18,80,281,140,fade(0.80);clearing_observed(asta_xlsx),80,18,-201,96.5,183.9,225.5,129.0
McTominay,C,C;T,NAP,27,22.0,6.0,0.5,0.0,0.0,0.0,220,2.0,6.447,7.393,6.475,7.46,0.085,,0.882,0.328,0.075,0.06,0.0,2.0,11.239,2.42,0.334,0.076,0.322,2.777,1.0241,2.173,170,11,1,0.961,2,0,146,True,1.0,0.5492,0.6417,0.0,17,141,205,102,fade(0.75);team_discount(NAP);clearing_observed(asta_xlsx),141,17,-64,59.9,158.9,212.6,152.7
Colombo L.,C,M;C,MON,3,0.4,6.0,0.5,0.0,0.0,0.0,4,,,,,,,,,,,,,4.0,7.56,1.767,0.314,0.085,0.269,2.448,0.9337,1.178,0,0,0,0.0,0,1,0,False,0.0,0.5487,0.5487,9.0,3,4,4,3,no_prior_data,4,3,0,51.9,173.2,217.3,165.4
Adams C.,A,A,TOR,10,3.3,6.0,0.5,0.0,0.0,0.0,33,2.0,5.987,6.68,5.99,6.7,0.01,,0.882,0.224,0.104,0.045,0.0,2.0,7.577,2.696,0.319,0.107,0.304,2.315,0.9571,1.436,46,7,0,0.179,1,1,103,True,0.5,0.5474,0.5625,29.7,9,30,6,3,fade(0.91);clearing_observed(historical),30,9,24,74.4,167.1,211.1,136.7
Ederson D.S.,C,M;C,ATA,12,4.6,6.0,0.5,0.0,0.0,0.0,46,1.0,6.25,6.43,6.25,6.43,0.0,,0.789,0.067,0.033,0.1,0.033,4.0,4.97,2.95,0.144,0.103,0.137,1.297,1.0354,2.298,0,0,0,0.0,2,0,158,True,1.0,0.5466,0.5466,36.4,11,43,20,10,fade(0.94);clearing_observed(asta_xlsx),43,11,23,100.7,200.6,222.7,122.0
Calhanoglu,C,M;C,INT,28,24.3,6.0,0.5,0.0,0.0,0.0,243,9.0,6.452,7.4,6.304,7.038,0.166,0.0493,0.825,0.209,0.202,0.174,0.082,4.0,5.708,4.864,0.233,0.202,0.075,2.219,1.1,3.009,216,17,0,0.7,2,0,119,True,1.0,0.5426,0.6063,17.2,28,243,91,46,thin_prior_sample_no_fade;clearing_observed(asta_xlsx),243,28,152,100.4,181.4,215.4,115.0
Fernandez T.,C,T;A,VEN,3,0.8,6.0,0.5,0.0,0.0,0.0,8,6.0,6.085,6.363,6.19,6.572,0.106,-0.0531,0.855,0.159,0.108,0.231,0.015,3.0,4.179,4.463,0.142,0.145,0.109,1.662,0.9494,1.351,0,0,0,0.0,0,0,0,False,0.0,0.5421,0.5421,20.9,3,8,8,3,no_prior_data,8,3,0,97.5,185.1,218.2,120.7
Beto,A,Pc,FIO,14,5.0,6.0,0.5,0.0,0.0,0.0,50,3.0,5.788,6.285,5.89,6.58,0.277,-0.305,0.544,0.344,0.016,0.049,0.016,1.0,10.855,2.893,0.458,0.122,0.426,2.576,1.0124,2.045,0,0,0,0.0,0,0,0,False,0.0,0.5414,0.5414,2.4,14,50,50,14,no_prior_data,50,14,0,54.6,139.8,198.3,143.7
Bonny,A,Pc,INT,7,1.5,6.0,0.5,0.0,0.0,0.0,15,2.0,6.11,6.723,6.09,6.67,0.06,,0.842,0.172,0.125,0.047,0.031,2.0,6.012,3.471,0.328,0.169,0.272,2.072,1.1,3.009,33,7,0,0.128,0,2,36,False,0.0,0.5398,0.5504,32.6,6,13,2,1,fade(0.88);clearing_observed(asta_xlsx),13,6,11,80.7,170.0,217.7,137.0
Ramon,D,Dc,COM,10,3.1,6.0,0.5,0.0,0.0,0.0,31,1.0,6.16,6.14,6.16,6.14,0.0,,0.842,0.062,0.0,0.344,0.0,1.0,5.472,1.027,0.179,0.034,0.179,1.279,1.0068,1.982,35,4,0,0.136,2,0,180,True,1.0,0.5388,0.55,17.8,9,27,20,10,fade(0.88);clearing_observed(asta_xlsx),27,9,7,108.4,180.5,215.5,107.1
Pasalic,C,C;T,ATA,8,2.2,6.0,0.5,0.0,0.0,0.0,22,9.0,5.975,6.33,6.039,6.686,0.126,-0.0018,0.789,0.204,0.096,0.1,0.007,4.0,5.4,4.375,0.281,0.203,0.255,1.65,1.0354,2.298,0,0,0,0.0,2,0,150,True,1.0,0.5372,0.5372,16.7,8,22,19,10,fade(0.99);clearing_observed(asta_xlsx),22,8,3,83.3,180.9,223.2,139.9
Colombo,A,Pc,GEN,11,5.2,6.0,0.5,0.0,0.0,0.0,52,6.0,5.908,6.4,4.9,5.218,2.192,0.8571,0.653,0.18,0.041,0.098,0.025,4.0,7.56,1.767,0.314,0.085,0.269,2.448,0.9593,1.46,12,2,0,0.047,2,0,164,True,1.0,0.5367,0.5405,29.5,10,49,46,23,fade(0.95);clearing_observed(asta_xlsx),49,10,3,86.4,166.9,226.1,139.7
Castro S.,A,Pc,ROM,14,7.0,6.0,0.5,0.0,0.0,0.0,70,3.0,6.022,6.592,6.033,6.59,0.101,-0.035,0.64,0.221,0.074,0.162,0.0,3.0,7.134,2.088,0.323,0.114,0.309,2.431,1.0268,2.203,18,5,0,0.07,0,2,45,False,0.0,0.5366,0.5423,18.1,13,65,163,82,fade(0.93);clearing_observed(asta_xlsx),65,13,-98,62.4,155.5,211.5,149.1
Simeone,A,Pc,TOR,14,8.0,6.0,0.5,0.0,0.0,0.0,80,10.0,5.97,6.552,5.949,6.748,0.194,0.0162,0.761,0.291,0.062,0.093,0.003,4.0,7.035,1.236,0.469,0.119,0.469,3.373,0.9571,1.436,66,6,0,0.257,2,0,143,True,1.0,0.5345,0.5559,31.4,12,67,26,13,fade(0.84);clearing_observed(asta_xlsx),67,12,41,81.5,168.8,213.2,131.7
De Ketelaere,A,A,ATA,17,9.5,6.0,0.5,0.0,0.0,0.0,95,4.0,6.222,6.845,6.115,6.668,0.222,0.128,0.822,0.16,0.152,0.064,0.008,4.0,6.688,6.921,0.293,0.335,0.284,1.913,1.0354,2.298,112,11,0,0.436,1,1,85,True,0.5,0.5325,0.5698,27.8,16,87,51,26,fade(0.91);clearing_observed(asta_xlsx),87,16,36,92.3,165.2,224.3,132.0
Esposito F.P.,A,Pc,INT,17,10.5,6.0,0.5,0.0,0.0,0.0,105,1.0,6.26,7.02,6.26,7.02,0.0,,0.816,0.226,0.097,0.032,0.0,,,,,,,,1.1,3.009,0,0,0,0.0,2,0,155,True,1.0,0.5305,0.5305,62.2,14,89,2,1,fade(0.85);clearing_observed(asta_xlsx),89,14,87,96.3,199.6,225.2,128.9
Modric,C,M;C,MIL,12,4.5,6.0,0.5,0.0,0.0,0.0,45,1.0,6.45,6.67,6.45,6.67,0.0,,0.868,0.061,0.091,0.121,0.0,1.0,1.247,4.026,0.04,0.128,0.04,0.637,1.0464,2.419,25,4,0,0.097,1,1,108,True,0.5,0.5296,0.5374,29.0,10,36,40,20,fade(0.88);team_discount(MIL);clearing_observed(asta_xlsx),36,10,-4,108.7,193.2,217.5,108.8
Barella,C,C,INT,18,8.1,6.0,0.5,0.0,0.0,0.0,81,10.0,6.29,6.66,6.216,6.462,0.165,0.0401,0.876,0.084,0.147,0.237,0.009,4.0,3.422,5.33,0.117,0.181,0.117,1.292,1.1,3.009,68,8,0,0.264,2,0,180,True,1.0,0.5289,0.5507,31.3,16,71,80,40,fade(0.88);clearing_observed(asta_xlsx),71,16,-9,127.9,195.5,225.7,97.8
Piccoli,A,Pc,BOL,8,2.9,6.0,0.5,0.0,0.0,0.0,29,8.0,5.893,6.442,5.8,6.229,0.211,0.0531,0.447,0.206,0.016,0.095,0.016,4.0,10.54,1.096,0.44,0.057,0.42,2.851,1.004,1.952,17,3,0,0.066,2,0,120,True,1.0,0.5286,0.5339,42.8,8,28,70,35,fade(0.98);clearing_observed(asta_xlsx),28,8,-42,85.4,180.2,223.2,137.8
Alajbegovic,C,W;T,JUV,11,4.2,6.0,0.5,0.0,0.0,0.0,42,,,,,,,,,,,,,3.0,4.445,1.437,0.508,0.133,0.485,2.775,1.0076,1.992,7,2,0,0.027,0,2,33,False,0.0,0.5283,0.5304,5.0,11,42,65,32,no_prior_data;clearing_observed(historical),42,11,-23,56.2,169.2,216.9,160.7
Stulic,A,Pc,LEC,6,1.1,6.0,0.5,0.0,0.0,0.0,11,1.0,5.73,6.12,5.73,6.12,0.0,,0.789,0.133,0.0,0.033,0.033,1.0,5.471,2.101,0.287,0.11,0.247,1.734,0.9201,1.029,0,0,0,0.0,0,2,52,False,0.0,0.5282,0.5282,12.5,6,11,26,13,fade(1.00);clearing_observed(asta_xlsx),11,6,-15,44.9,149.9,207.7,162.8
Rabiot,C,C;T,MIL,23,14.5,6.0,0.5,0.0,0.0,0.0,145,6.0,6.242,6.828,6.022,6.37,0.236,0.1009,0.794,0.133,0.077,0.199,0.0,3.0,4.682,3.505,0.175,0.119,0.175,1.494,1.0464,2.419,110,11,0,0.428,0,2,65,False,0.0,0.5269,0.5631,9.6,17,106,119,60,fade(0.81);team_discount(MIL);clearing_observed(asta_xlsx),106,17,-13,70.4,173.8,222.2,151.8
McKennie,C,C;T,JUV,17,7.0,6.0,0.5,0.0,0.0,0.0,70,4.0,6.078,6.453,5.992,6.287,0.194,0.103,0.743,0.071,0.15,0.124,0.0,4.0,5.825,3.962,0.156,0.161,0.156,0.975,1.0076,1.992,52,9,0,0.202,1,0,90,True,0.5,0.5261,0.5425,0.0,15,62,43,22,fade(0.88);clearing_observed(historical),62,15,19,93.2,160.2,217.5,124.3
De Gea,P,Por,FIO,11,3.0,6.0,0.5,0.0,0.0,0.0,30,2.0,6.273,5.137,6.29,5.205,0.05,,0.947,0.0,0.0,0.014,0.0,2.0,,0.309,0.0,0.009,0.0,0.0,1.0124,2.045,7,2,0,0.027,2,0,180,True,1.0,0.5257,0.5278,45.3,11,30,85,42,goalkeeper_no_fade;clearing_observed(asta_xlsx),30,11,-55,99.8,195.5,218.5,118.7
Woltemade,A,A,JUV,23,16.0,6.0,0.5,0.0,0.0,0.0,160,,,,,,,,,,,,,,,,,,,,1.0076,1.992,0,0,0,0.0,0,0,0,False,0.0,0.5248,0.5248,28.2,23,160,160,23,no_prior_data,160,23,0,71.3,165.6,216.7,145.4
Rodriguez Je.,C,W;A,COM,11,3.1,6.0,0.5,0.0,0.0,0.0,31,1.0,6.25,6.66,6.25,6.66,0.0,,0.737,0.071,0.286,0.107,0.0,1.0,3.921,6.971,0.204,0.363,0.204,2.344,1.0068,1.982,19,2,0,0.074,1,1,71,True,0.5,0.5247,0.5306,26.4,10,28,19,10,fade(0.89);clearing_observed(asta_xlsx),28,10,9,123.2,190.6,225.4,102.2
Karlstrom,C,M;C,UDI,7,2.0,6.0,0.5,0.0,0.0,0.0,20,2.0,5.923,5.9,5.905,5.87,0.055,,0.961,0.014,0.027,0.205,0.0,2.0,0.97,1.288,0.028,0.036,0.028,0.467,0.965,1.523,8,2,0,0.031,2,0,180,True,1.0,0.5231,0.5255,15.3,8,21,1,1,fade(1.07);clearing_observed(asta_xlsx),21,8,20,89.1,179.5,216.6,127.5
Hojlund,A,Pc,NAP,28,26.0,6.0,0.5,0.0,0.0,0.0,260,2.0,6.18,7.317,6.165,7.255,0.045,,0.829,0.333,0.111,0.032,0.016,,,,,,,,1.0241,2.173,136,11,0,0.529,2,0,158,True,1.0,0.5211,0.566,33.7,19,173,269,134,fade(0.78);team_discount(NAP);clearing_observed(asta_xlsx),173,19,-96,81.5,171.1,224.3,142.8
Politano,C,W,NAP,9,3.7,6.0,0.5,0.0,0.0,0.0,37,11.0,6.113,6.468,6.139,6.645,0.092,-0.0039,0.823,0.16,0.122,0.087,0.017,4.0,3.96,6.157,0.185,0.254,0.138,2.195,1.0241,2.173,62,9,0,0.241,2,0,157,True,1.0,0.5204,0.5399,17.1,7,30,92,46,fade(0.96);team_discount(NAP);clearing_observed(asta_xlsx),30,7,-62,96.7,181.3,218.4,121.7
Esposito Se.,A,A,SAS,12,4.0,6.0,0.5,0.0,0.0,0.0,40,3.0,5.187,5.703,4.143,4.557,2.93,3.13,0.908,0.217,0.058,0.101,0.029,1.0,9.865,2.057,0.578,0.121,0.578,3.342,0.9714,1.594,99,8,0,0.385,0,0,0,False,0.0,0.5201,0.552,18.2,10,35,40,20,fade(0.87);clearing_observed(asta_xlsx),35,10,-5,87.7,155.6,196.9,109.2
Ekkelenkamp,C,C;T,UDI,12,5.7,6.0,0.5,0.0,0.0,0.0,57,2.0,6.023,6.497,6.01,6.44,0.04,,0.842,0.125,0.078,0.047,0.0,2.0,4.198,2.095,0.172,0.092,0.172,1.289,0.965,1.523,73,9,0,0.284,2,0,175,True,1.0,0.5198,0.5429,5.7,11,51,36,18,fade(0.90);clearing_observed(historical),51,11,15,75.0,169.9,213.7,138.7
Thuram K.,C,C,JUV,9,2.5,6.0,0.5,0.0,0.0,0.0,25,2.0,6.167,6.513,6.2,6.57,0.1,,0.882,0.104,0.104,0.104,0.0,2.0,3.886,3.668,0.142,0.137,0.142,1.608,1.0076,1.992,78,10,0,0.303,0,1,0,False,0.0,0.5188,0.5435,16.7,9,24,96,48,fade(0.95);clearing_observed(asta_xlsx),24,9,-72,93.5,180.9,227.9,134.4
Mkhitaryan,C,C,INT,4,0.9,6.0,0.5,0.0,0.0,0.0,9,7.0,6.192,6.492,6.221,6.866,0.109,-0.0161,0.805,0.173,0.164,0.121,0.005,4.0,4.176,3.531,0.143,0.144,0.143,1.426,1.1,3.009,68,6,0,0.264,0,1,0,False,0.0,0.5181,0.5395,24.3,4,8,16,8,fade(0.90);clearing_observed(asta_xlsx),8,4,-8,85.4,188.5,222.8,137.4
Mancini,D,Dc,ROM,16,5.0,6.0,0.5,0.0,0.0,0.0,50,9.0,6.183,6.375,6.07,6.182,0.14,0.0242,0.816,0.078,0.03,0.281,0.0,4.0,2.618,1.543,0.076,0.046,0.076,0.622,1.0268,2.203,33,9,0,0.128,2,0,180,True,1.0,0.5177,0.5278,26.7,12,39,21,10,fade(0.77);clearing_observed(asta_xlsx),39,12,18,106.6,189.4,217.8,111.2
Baturina,C,T,COM,20,10.5,6.0,0.5,0.0,0.0,0.0,105,1.0,6.3,7.14,6.3,7.14,0.0,,0.658,0.24,0.12,0.0,0.0,1.0,1.901,6.696,0.108,0.382,0.108,1.596,1.0068,1.982,20,4,0,0.078,2,0,103,True,1.0,0.5174,0.5235,22.1,16,82,10,5,fade(0.78);clearing_observed(asta_xlsx),82,16,72,105.1,186.3,227.8,122.7
Giovane,A,A,NAP,4,0.7,6.0,0.5,0.0,0.0,0.0,7,1.0,6.0,6.45,6.0,6.45,0.0,,0.816,0.097,0.194,0.065,0.0,1.0,4.269,4.357,0.205,0.209,0.205,2.691,1.0241,2.173,54,4,0,0.21,0,2,0,False,0.0,0.5172,0.534,9.5,3,6,2,1,fade(0.94);team_discount(NAP);clearing_observed(asta_xlsx),6,3,4,75.5,146.9,213.2,137.7
Atta,C,C;T,FIO,15,7.8,6.0,0.5,0.0,0.0,0.0,78,2.0,6.24,6.55,6.18,6.385,0.18,,0.724,0.091,0.055,0.145,0.0,2.0,3.338,2.5,0.137,0.118,0.137,1.967,1.0124,2.045,60,5,0,0.233,2,0,164,True,1.0,0.5167,0.5354,24.3,13,65,51,26,fade(0.84);clearing_observed(asta_xlsx),65,13,14,103.6,188.5,224.4,120.8
Kean,A,Pc,COM,24,18.3,6.0,0.5,0.0,0.0,0.0,183,9.0,6.08,7.067,5.464,6.454,1.968,0.0488,0.493,0.302,0.036,0.194,0.022,4.0,15.436,1.073,0.665,0.061,0.622,3.623,1.0068,1.982,282,18,1,1.0,0,1,27,False,0.0,0.5158,0.6068,13.5,21,162,307,154,fade(0.89);clearing_observed(asta_xlsx),162,21,-145,56.1,150.9,214.2,158.1
Delprato,D,B;Dd;E,PAR,8,2.1,6.0,0.5,0.0,0.0,0.0,21,2.0,5.95,6.077,5.97,6.11,0.06,,0.908,0.087,0.0,0.188,0.0,2.0,2.159,1.032,0.064,0.031,0.064,0.457,0.9545,1.408,42,7,0,0.163,2,0,180,True,1.0,0.5146,0.5275,18.4,7,19,17,8,fade(0.92);clearing_observed(asta_xlsx),19,7,2,95.2,181.1,214.4,119.2
Robinson J.,A,A,MON,4,0.5,6.0,0.5,0.0,0.0,0.0,5,,,,,,,,,,,,,3.0,2.404,2.052,0.116,0.099,0.116,1.075,0.9337,1.178,0,0,0,0.0,0,2,11,False,0.0,0.5143,0.5143,31.6,4,5,2,1,no_prior_data;clearing_observed(historical),5,4,3,50.0,169.0,217.3,167.3
Floriani Mussolini,D,Dd;E,LAZ,4,1.0,6.0,0.5,0.0,0.0,0.0,10,1.0,5.72,5.72,5.72,5.72,0.0,,0.605,0.0,0.043,0.087,0.0,3.0,6.72,3.908,0.333,0.248,0.268,2.368,0.9953,1.856,17,3,0,0.066,1,1,151,True,0.5,0.5138,0.5189,0.0,4,10,5,2,thin_prior_sample_no_fade;clearing_observed(historical),10,4,5,66.2,156.2,202.5,136.3
Pavlovic,D,Dc,MIL,14,4.9,6.0,0.5,0.0,0.0,0.0,49,2.0,6.13,6.45,6.075,6.365,0.165,,0.737,0.125,0.018,0.125,0.0,2.0,3.33,1.006,0.115,0.038,0.115,0.816,1.0464,2.419,36,8,0,0.14,2,0,180,True,1.0,0.5136,0.5246,32.8,9,33,27,14,fade(0.74);team_discount(MIL);clearing_observed(asta_xlsx),33,9,6,93.0,195.5,219.9,126.9
Carnesecchi,P,Por,ATA,17,5.5,6.0,0.5,0.0,0.0,0.0,55,5.0,6.325,5.447,5.048,4.166,2.525,1.271,0.822,0.0,0.008,0.016,0.0,4.0,,0.178,0.0,0.006,0.0,0.0,1.0354,2.298,11,2,0,0.043,2,0,180,True,1.0,0.5134,0.5167,24.3,17,55,83,42,goalkeeper_no_fade;clearing_observed(asta_xlsx),55,17,-28,80.6,174.5,220.7,140.1
Milinkovic-Savic V.,P,Por,NAP,5,0.5,6.0,0.5,0.0,0.0,0.0,5,8.0,6.22,5.515,6.027,4.866,0.174,0.061,0.569,0.0,0.0,0.073,0.0,1.0,7.642,7.67,0.226,0.227,0.226,1.892,1.0241,2.173,71,10,0,0.276,0,2,0,False,0.0,0.5132,0.5354,0.0,4,4,55,28,goalkeeper_no_fade;team_discount(NAP);clearing_observed(asta_xlsx),4,4,-51,36.1,128.5,223.9,187.8
Rowe,C,W;T,ATA,10,4.0,6.0,0.5,0.0,0.0,0.0,40,1.0,6.2,6.59,6.2,6.59,0.0,,0.737,0.107,0.107,0.071,0.0,1.0,4.977,2.7,0.278,0.151,0.278,2.68,1.0354,2.298,86,5,0,0.334,0,1,30,False,0.0,0.513,0.5401,12.2,9,36,32,16,fade(0.90);clearing_observed(asta_xlsx),36,9,4,64.7,176.4,222.7,158.0
Mota,A,A,MON,4,0.8,6.0,0.5,0.0,0.0,0.0,8,3.0,5.935,6.398,5.977,6.453,0.103,-0.125,0.816,0.151,0.065,0.086,0.0,3.0,5.229,2.423,0.238,0.107,0.238,1.598,0.9337,1.178,83,9,0,0.323,0,1,11,False,0.0,0.5122,0.5383,10.6,4,8,2,1,no_prior_data;clearing_observed(historical),8,4,6,59.5,148.0,212.8,153.3
Lucca,A,Pc,NAP,4,1.2,6.0,0.5,0.0,0.0,0.0,12,3.0,5.903,6.475,5.957,6.6,0.17,-0.16,0.667,0.299,0.045,0.239,0.015,3.0,5.555,1.175,0.339,0.059,0.327,2.378,1.0241,2.173,43,6,0,0.167,0,0,0,False,0.0,0.5118,0.5249,0.0,3,10,38,19,thin_prior_sample_no_fade;team_discount(NAP);clearing_observed(asta_xlsx),10,3,-28,50.3,132.1,208.1,157.8
Sanchez Ro.,P,Por,COM,8,2.5,6.0,0.5,0.0,0.0,0.0,25,,,,,,,,,,,,,2.0,1.707,2.203,0.304,0.344,0.245,1.955,1.0068,1.982,0,0,0,0.0,0,0,0,False,0.0,0.511,0.511,15.8,8,25,25,8,goalkeeper_no_fade,25,8,0,50.0,166.0,222.7,172.7
Raspadori,A,A,ATA,14,7.3,6.0,0.5,0.0,0.0,0.0,73,7.0,6.12,6.92,6.106,6.839,0.127,-0.0193,0.564,0.224,0.077,0.07,0.0,4.0,4.555,2.441,0.395,0.201,0.379,3.525,1.0354,2.298,37,4,0,0.144,2,0,138,True,1.0,0.5106,0.5219,53.3,14,73,61,31,thin_prior_sample_no_fade;clearing_observed(historical),73,14,12,86.3,190.7,224.3,138.0
Conceicao,C,W;A,JUV,13,6.8,6.0,0.5,0.0,0.0,0.0,68,2.0,6.227,6.633,6.2,6.6,0.08,,0.724,0.109,0.145,0.109,0.0,2.0,6.702,4.284,0.304,0.224,0.304,2.953,1.0076,1.992,141,12,0,0.548,2,0,145,True,1.0,0.5104,0.5561,25.3,11,60,67,34,fade(0.88);clearing_observed(asta_xlsx),60,11,-7,97.4,189.5,224.6,127.2
Carlos Augusto,D,B;Ds;E,INT,6,2.0,6.0,0.5,0.0,0.0,0.0,20,4.0,6.15,6.318,6.155,6.435,0.03,-0.006,0.829,0.079,0.095,0.095,0.0,4.0,2.324,2.553,0.12,0.113,0.12,1.192,1.1,3.009,65,8,0,0.253,0,2,0,False,0.0,0.5095,0.5296,4.9,5,17,20,10,fade(0.87);clearing_observed(asta_xlsx),17,5,-3,74.4,167.6,210.3,135.9
